,statute_code,charge_descriptions,charge_class,charge_label,Reason
51,27.287A.(c),"['CDS:POSS PARAPHERNALIA' 'Cds:Possess Paraphernalia'
 'CDS-PARA/USE POSS W/INTENT USE'
 'Cds:Possess Paraphernalia/Subsequent Offender'
 'CDS PARA USE POS W/INT USE']",['Misdemeanor'],5M,
59,27.111,"['MAL DEST PROP/VALU - $300' 'MAL DESTR PROP VALUE + $300'
 'MAL DEST PROP/VALU - $500' 'MAL DESTR PROP VALUE + $500'
 'Malicious Destruction Property Value + $500'
 'Malicious Destruction Of Property/Value Less Than $300'
 'MAL. DESTR. PROP/VALU $300+'
 'Malicious Destruction Property Value + $300'
 'Malicious Destruction Of Property/Value Less Than $500'
 'MAL DES-SCHEME/VALU + $500'
 'Malicious Destruction - Scheme Value Over $500'
 'MAL DES-SCHEME/VALU +$300' 'MAL DEST PROP/VALU LESS $300']",['Misdemeanor'],5M,
60,CR.8.601.(b),"['FORGERY/PRIV DOCUMENT/POSSESS' 'Forgery/Priv Document/Process'
 'Forgery/Priv Document/Possess']",['Misdemeanor' nan],5M,
62,CR.7.203,"['UNAUTH REMOVAL OF PROP' 'U/U LIVESTOCK MV ETC' 'U/U Livestock Mv Etc'
 'Unauth Removal of Prop' 'UNAUTH REMOVAL OF MV' 'Unauth Removal Of Prop'
 'UNAUTHORIZED USE OF A MOTOR VEHICLE' 'Unauth Use' 'U/U LIVESTOCK'
 'UNATHORIZED REMOVAL OF PROP' 'Unauth Removal Of Motor Vehicle']",[nan 'Misdemeanor' 'Other'],5M,
67,CR.6.205.(b),"['BURGLARY-4TH DEGREE-STORE' 'Burglary-Fourth Degree'
 'Burglary-Fourth Degree-Storehouse' 'BURGLARY-FOURTH DEGREE'
 'BURGLARY-4TH DEGREE-STOREHOUSE']",['Misdemeanor' nan],5M,
69,CR.8.103,"['BD CK/UTTER/NSF/UND $500' 'BD CK/UTTER/NSF/$500 & UP'
 'Bad Check/Uttering/Insufficient Funds/$500 & Up'
 'BD CK/PASS/NSF/UND $500'
 'Bad Check - Uttering/Insufficient Funds/ Under $500'
 'BD CK/PASS/NSF/$500 & UP' 'BDCK/30 DY PLOT/NSF' 'BDCKS/30DY PLOT/NSF']",['Misdemeanor' 'Felony District Court' 'Felony Circuit Court' nan],5M,
70,CR.8.301.(b),"['FRAUD-PER IDENT INFO THEFT' 'Fraud-Per Ident Info Theft'
 'FRAUD ID INFO THFT $1K -<$10K' 'FRAUD-PER ID INFOTHEFT $500+'
 'FRAUD- PER. ID. INFO. THEFT $5' 'FRAUD IDENT INFO THFT UND $1,0'
 'Fraud Ident Info Thft $1k -<$10k' 'Fraud- Per Id Info Theft $500+'
 'Fraud Ident Info Thft Und $1,000' 'FRAUD IDENT INFO THFT $1K -<$1'
 'Fraud- Per. Id. Info. Theft $500+' 'Fraud Ident Info Thft $10k-<$100k'
 'FRAUD IDENT INFO THFT $10K-<$1' 'FRAUD-PER.IDENT.INFO.THEFT $10'
 'FRAUD IDENT INFO THFT $10K-<$100K']",['Misdemeanor' nan 'Felony District Court' 'Felony Circuit Court'],5M,
71,CR.4.204,['Handgun Use/Felony/Violent Crime' 'HGV USE/FEL-VIOL CRIME'],['Misdemeanor'],5M,
73,CR.3.804.(a)(2),"['TEL MISUSE:REPEAT CALLS' 'Telephone Misuse: Repeated Calls'
 'TELEPHNE: CALL REPEAT/ABUSE' 'TELEPHONE:CALL REPEATDLY/ABUSE'
 'TELEPHONE: CALL REPEATDLY/ABUS']",['Misdemeanor' nan],5M,
75,CR.5.601.(a)(2),"['CDS:OBTAIN BY FRAUD' 'ATT-CDS:OBTAIN BY FRAUD' 'Cds:Obtain By Fraud'
 'CDS: OBTAIN BY FRAUD' 'CDS:Obtain By Fraud']",['Misdemeanor' nan],5M,
76,CR.6.402,['TRESPASS-POSTED PROPERTY' 'Trespass-Posted Property'],['Misdemeanor' nan],5M,
77,CR.8.301(c)(2)(i)(ii),"['FRAUD ID INFO THFT $100-<$1500' 'Fraud Ident Info Thft $1500-<$25k'
 'FRAUD ID INFO THFT $1500-<$25K']",['Misdemeanor' 'Felony District Court'],5M,
78,CR.9.501,"['FALSE STATEMENT TO OFFICER' 'FLSE STMNT TO OFFICER CAUSE'
 'FALSE STATEMENT TO OFFICER: MA' 'False Statement To Officer/Cause'
 'False Statement To Officer' 'FALSE STMT-TO PEACE OFFICER']",['Misdemeanor' nan],5M,
85,CR.8.610.(b)(2),['ISSUE FORGED PRESCRP' 'UTTER FORGED PRESCRP' 'Issue Forged Prescription'],['Misdemeanor' nan],5M,
88,CR.8.206(a)(1),"['CRED CD/ANOT CHG $100-<$1500' 'Cred Crd/Anot Chrg $100-<$1500'
 'CRED CD/ANOT CHG $1500-<25K']",['Misdemeanor' 'Felony District Court'],5M,
91,27.300,"['CDS PRESC OBTN MKE FORGERY' 'CDS PRESCR OBTAIN BY FRAUD'
 'CDS PRESC OBTN CONCEALMENT'
 'Cds Prescription Obtain Making/Uttering-False/Forged'
 'CDS PRESCRIP/REMOVE LABEL' 'CDS PRESC OBTN ALTER ORDER'
 'Cds Prescription Obtain By Fraud'
 'Cds Prescription Obtain Altering Order'
 'Cds Prescription Obtain Impersonation'
 'Cds Prescription Obtain By Concealment'
 'Cds Prescription: False/Forged Label' 'Fraud - Prescription Drugs']",['Misdemeanor'],5M,
98,27.577,"['TRESPASS-POSTED PROPERTY' 'TRESPASS: PRIVATE PROPERTY'
 'TRESPASS:PRIVATE PROPERTY' 'Trespass: Private Property'
 'OFF-ROAD VEHICLE ON PROPERTY' 'Trespass-Posted Property'
 'TRESPASS: BOAT' 'OFF-ROAD VEH/GOV PROPERTY' 'TRESPASS- PEEPING TOM']",['Misdemeanor'],5M,
101,CR.8.610.-2,['POSSESS FORGED PRESCRIP'],['Misdemeanor'],5M,
103,CR.9.502,"['FALSE STMT TO PEACE OFFICER' 'False Statement To Peace Officer'
 'FALSE STMT-TO PEACE OFFICER' 'RECKLESS ENDANGERMENT']",[nan 'Misdemeanor'],5M,
104,2B.19.101,"['ALC BEV./RETAIL AREA DRINK' 'ALC. BEV./INTOX:ENDANGER'
 'ALCOHOL BEV-INTOXICATED ETC'
 'Alcoholic Beverage-Intoxicated An Did Endanger'
 'ALCOHOL BEV: CAUSE DISTURBANCE' 'ALC. BEV. /INTOX: ENDANGER'
 'Alcoholic Beverage: Public Place/Cause Disturbance'
 'ALC BEV. CAUSE DISTURBANCE' 'ALCOHOL BEV/INTOX:ENDANGER']",['Misdemeanor' nan],5M,
107,CR.4.203. (a)(1)(v),['LOADED HANDGUN IN VEHICLE' 'Loaded Handgun In Vehicle'],['Misdemeanor'],5M,
108,27.121.(b).-2,['DISORDERLY CONDUCT'],['Misdemeanor'],5M,
112,CR.6.205.(d),"['BURGLARY-4TH DEGREE/TOOLS' 'BURGLARY-4TH DEGREE/PERMIT TOO'
 'BURGLARY-4TH DEGREE/PERMIT TOOL USE' 'Burglary-Fourth Degree/Tools'
 'Burglary-Fourth Degree/Tool' 'Burglary-Fourth Degree/Permit Tool Use']",[nan 'Misdemeanor'],5M,
114,CR.4.203.(a)(1)(v),['LOADED HANDGUN ON PERSON' 'Loaded Handgun On Person'],['Misdemeanor'],5M,
115,27.55,"['FORGERY-PRESCRIPTION' 'FORGED PRESCRPTN:USE/OBTN DRUG'
 'OBTAIN DRUG BY FRAUD' 'UTTER FORGED PRESCRP' 'POSSESS FORGED PRESCRIP']",['Misdemeanor'],5M,
118,CR.11.306,['PROSTITUTION-GENERAL' 'Prostitution-General'],['Misdemeanor' nan],5M,
119,CR.8.103.(a),"['BD CK/UTTER/NSF/UND $1,000' 'BD CHECK/UTTER LESS $100'
 'BD CK/UTTER/NSF/$1,000 TO <10K' 'BD CHECK/ISSUE LESS $100'
 'BD CHECK/PASS/NSF/LESS THAN $1' 'BD CK/ISSUE/NSF/$1,000 TO <10K'
 'BD CK/ISSUE/NSF/UND $1,000' 'BD CK/PASS/NSF/LESS $100'
 'Bd Check/Utter Less $100']",['Misdemeanor' nan 'Felony District Court' 'Felony Circuit Court'],5M,
123,27.555A,"['TEL MISUSE:REPEAT CALLS' 'Telephone Misuse: Repeated Calls'
 'TEL MISUSE: OBSCENE' 'Telephone Misuse: Single Call'
 'TEL MISUSE:SINGLE CALL']",['Misdemeanor'],5M,
125,CR.5.601.(a).(1),"['CDS: POSSE MARIJUANA 10GM+' 'CDS: POSSESSION-MARIJUANA'
 'CDS: POSSESSION MARIJUANA' 'CDS: POSSESSION-MARIHUANA'
 'CDS: POSS-MARIJUANA']",['Misdemeanor'],5M,
126,CR.5.601.(2)(ii),"['Cds Obtain By Forging/Altering Prescription'
 'CDS OBTN BY ALTER PRESCRIP' 'MARIHUANA OBTN BY ALTR PRES']",['Misdemeanor'],5M,
127,CR.5.701.(d)(4)(i),"['CDS PRESCR OBTAIN BY FRAUD' 'PRESCR OBTAIN BY FRAUD'
 'Cds Prescription Obtain By Fraud' 'Prescription Obtain By Fraud']",['Misdemeanor' nan],5M,
129,CR.8.610.(b)(1),['FORGERY-PRESCRIPTION'],[nan 'Misdemeanor'],5M,
130,CR.8.610.(b)(3),['OBTAIN DRUG BY FRAUD' 'Obtain Drug By Fraud' 'ATT-OBTAIN DRUG BY FRAUD'],['Misdemeanor' nan],5M,
131,CR.10.201.(c)(5),['DISTURB PEACE - LOUD NOISE' 'Disturb Peace - Loud Noise'],[nan 'Misdemeanor'],5M,
132,27.141,"['BAD CHECK(S) $300. AND UP' 'BD CK/UTTER/NSF/$300 & UP'
 'BD CK/UTTER/NSF/$500 & UP' 'BAD CHECK(S) UNDER $300.'
 'Bad Check/Uttering/Insufficient Funds/$300 & Up' 'BDCK/30 DY PLOT/NSF'
 'BD CK/30 DY PLOT / NSF' 'BD CK/EMPLOYEE/UND $300'
 'Bad Check(S) Under $300.'
 'Bad Check/Uttering/Insufficient Funds/$500 & Up' 'BD CK/30 DY PLOT/NSF']",['Felony District Court' 'Misdemeanor' 'Felony Circuit Court'],5M,
137,CR.8.604.1,['POSSESS/ISSUE FORGED CURRENCY' 'Possess/Issue Forged Currency'],['Misdemeanor' nan],5M,
142,CR.8.301.(c)(1),"['FRAUD-PER.IDENT.AVOID PROS' 'FRAUD-PER IDENT AVOID PROS'
 'Fraud-Per Ident Avoid Pros' 'Fraud-Per.Ident.Avoid Pros']",['Misdemeanor' 'Felony District Court' nan],5M,
144,BR.8.601,"['Act As Contrctor W/O License' 'ACT AS CONTRCTOR W/O LICNS'
 'ACT AS CONTRACTOR W/O LICNS' 'SELL HOME IMPRV W/O LICENS'
 'Act As Contractor Without License' 'ACT AS CONTRACTOR W/O LICNSE'
 'Act As Contractor W/O License' 'SELL HOME IMPRV W/O LICENSE'
 'Sell Home Improvement Without License' 'ACT AS CONTRACTOR W/O LICENSE']",['Misdemeanor' nan],5M,
145,27.287,"['CDS:OBTAIN BY FRAUD' 'CDS OBTN BY ALTER PRESCRIP'
 'CDS Possession (Cocaine)' 'CDS: Possess - Crack Cocaine'
 'CDS: Possess - Cocaine' 'Cds:Obtain By Fraud'
 'Cds: Possess-Crack Cocaine' 'Possess: Crack/Cocaine' 'Possess: Heroin'
 'CDS Possess-Not Marijuana' 'Possession of Cocaine'
 'Cds:Possess-Cocaine HCL' 'Cds:Possess-Crack/Cocaine'
 'Possession of Marihuana' 'CDS: Possession-Cocaine'
 'CDS: Possession-Marijuana' 'Possess-Crack/Cocaine' 'cds:Possess-Cocaine'
 'Possession-marijuana' 'Cds: Possession-Marihuana']",['Misdemeanor'],5M,
147,CR.5.701.(d)(4)(ii),['PRESC OBTN ALTER ORDER' 'CDS PRESC OBTN ALTER ORDER'],['Misdemeanor' nan],5M,
149,CR.8.206.(a)(2),"['CRED CRD FORGE CHRG + $500' 'CRED CRD FORGE CHARG $1-500'
 'OBT PROP BY COUNTERFEIT L/T $' 'Obt Prop By Counterfeit, Etc'
 'Obt Prop By Counterft Und $1,000' 'OBT PROP BY CNTRFT $10K TO <$100K'
 'OBT PROP BY CNTRFT $10K TO <$1']",['Felony District Court' nan 'Misdemeanor' 'Felony Circuit Court'],5M,
152,CR.7.104.3,['THEFT LESS THAN $100.00' 'Theft Less Than $100.00' 'FAIL TO PAY FARE'],[nan 'Misdemeanor'],5M,
164,CR.5.601.(2)(vi),"['Cds Obtain By Making/Uttering False/Forged Prescription'
 'CDS OBTN BY MAKE FRGE PRES']",['Misdemeanor'],5M,
165,CR.5.701.(d)(4)(vi),"['CDS PRESC OBTN MKE FORGERY'
 'Cds Prescription Obtain Making/Uttering-False/Forged'
 'PRESC OBTN MKE FORGERY']",[nan 'Misdemeanor'],5M,
168,BR.8.605,['FAIL TO PERFORM CONTRACT' 'Fail To Perform Contract'],[nan 'Misdemeanor'],5M,
171,CR 7 203,"['UNAUTH REMOVAL OF MV' 'UNAUTH REMOVAL OF PROP'
 'Unauth Removal Of Motor Vehicle']",['Misdemeanor'],5M,
172,CR.6.206.(a),['BURG TOOLS-MOT. VEH/POSS' 'Burg Tools-Mot. Veh/Poss'],[nan 'Misdemeanor'],5M,
174,27.123,"['HARASS; A COURSE OF CONDUCT' 'DISORDERLY PUB DISOBEY POL'
 'DISORDERLY IN PUBLIC PLACE' 'Harass; A Course Of Conduct'
 'Disorderly In Public Place' 'HARASS FOL. ANOTH W/INT TO' 'FAIL TO OBEY']",['Misdemeanor'],5M,
177,2B.19.202,"['ALC BEV/PROHIB PLACE DRINK' 'ALC BEV/VEH PUB PROP DRINK'
 'ALC BEV./RETAIL AREA DRINK' 'ALC BEV RETL EST DRINK']",[nan 'Misdemeanor' 'Other'],5M,
180,27.121.(b).-3,['FAIL OBEY RENBLE/LAWFL'],['Misdemeanor'],5M,
185,CR.7.302.(c),['COMPUTERS ILLEGAL ACCESS' 'Computers Illegal Access'],['Misdemeanor'],5M,
189,CR.8.303.(b)(1)(2),"[""POSSESS/USE FALSE GOV'T ID DOC""]",[nan 'Misdemeanor'],5M,
191,CR.3.802.(b),['STALKING' 'Stalking'],['Misdemeanor' nan],5M,
195,CR.3.322,"['PERVERTED PRACTICE' 'UNNATURAL OR PERVERTED PRACTICE'
 'Unnatural Or Perverted Practice']",[nan 'Misdemeanor'],5M,
196,CR.10.201.(c)(1),"['DISTURB PEACE HINDER PASSG'
 'Disturbance Of The Public Peace And Hinder The Free Passage']",[nan 'Misdemeanor'],5M,
197,ED.26.102,['SCHOOL: TRESPASS ON GROUND' 'School: Trespass On Ground'],['Misdemeanor' nan],5M,
202,AB.6.320.(a)(2),['INTOXICATED PUBLIC DISTURB' 'Intoxicated Public Disturb'],['Misdemeanor'],5M,
205,CR.8.301(c)(1),['FRAUD-PER. IDENT. AVOID PROS' 'Fraud-Per. Ident. Avoid Pros'],['Misdemeanor'],5M,
207,27.145.(d),"['CRED CRD/ANOT. CHARG L/T $300'
 ""Credit Card/Charge Another's/ $500 Or Less""]",['Misdemeanor'],5M,
209,27.150,"['FALSE STATEMENT TO OFFICER' 'FALSE STATEMENT TO OFFICER:MAK'
 'FLSE STMNT TO OFFICER CAUSE' 'False Statement To Officer/Cause'
 'False Statement To Officer']",['Misdemeanor'],5M,
211,AB.6.320.(a)(1),['INTOXICATED ENDANGER'],['Misdemeanor'],5M,
213,CR.10.117.(b),['ALLOW UNDERAGE POSS ALC'],['Misdemeanor' nan],5M,
214,CR.8.206(b),['CRED CD-PERSNTN/$100-<$1500' 'CRED CD PERSNTN $1500-<$25K'],['Misdemeanor' 'Felony District Court'],5M,
215,CR.10.110.(c),"['LITTER/DUMP: UNDER 100 LBS' 'CAUSE LITTER/DUMP: OVER 100 LB'
 'LITTER/DUMP:UNDER 100 LBS' 'CAUSE LITTER/DUMP: L/T 100 LB'
 'CAUSE LITTER/DUMP: L/T 100 LBS' 'Litter/Dump:Under 100 Lbs'
 'Litter/Dump: Under 100 Lbs']",['Misdemeanor' nan],5M,
218,BR.17.1804,['DO BUS W/O TRADERS LICENSE'],['Misdemeanor' nan],5M,
223,CR.8.301(b),"['FRAUD ID INFO THFT $100-<1500' 'FRAUD ID INFO THFT $1500-<25K'
 'Fraud Id Info Thft $1500-<$25k' 'FRAUD ID INFO THFT $25K-<$100K']",['Misdemeanor' 'Felony District Court'],5M,
228,BR.12.302,['PART PREC METAL REQ RECD VIOL'],['Misdemeanor'],5M,
231,CR.8.204.(a)(ii),['CRED CARD/STOLEN:RECEIVE' 'Credit Card/Stolen:Receive'],[nan 'Misdemeanor'],5M,
234,27.36B.(b),"['HANDGUN IN VEHICLE' 'HANDGUN ON PERSON'
 'Handgun: Wear/Carry & Transport In Vehicle/Public Roads, Etc'
 'Wear, Carry And Transport Handgun Upon Their Person']",['Misdemeanor'],5M,
241,CR -3-204 -A-1 - -,['RECKLESS ENDANGERMENT (CJIS 1_1425)' 'RECKLESS ENDANGERMENT'],['Misdemeanor'],5M,
242,27.36B.(d),['Handgun Use/Felony/Violent Crime' 'HGV USE/FEL-VIOL CRIME'],['Misdemeanor'],5M,
248,27.287.(b).-5,['CDS OBTN BY MAKE FRGE PRES'],['Misdemeanor'],5M,
249,2B.19.301,"['ALC BEV/OPEN CONT/RETL EST' 'ALC BEV OPEN CONT RETL EST'
 'ALC BEV/OPEN CONT/RETAIL EST'
 'Alcoholic Beverage:Open Container/Veh-Retail Establishment']",[nan 'Misdemeanor' 'Other'],5M,
250,CR.8.301.(c)(2)(i)(i,"['FRAUD IDENT INFO THFT UND $1,0' 'FRAUD IDENT INFO THFT $1K-<$10']",['Misdemeanor' 'Felony District Court'],5M,
252,27.150.B,['FALSE STMT TO PEACE OFFICER' 'False Statement To Peace Officer'],['Misdemeanor'],5M,
258,ED.26.101,"['SCHOOL: DISTURB OPERATION' 'School:Disturb Operation'
 'SCHOOL:DISTURB OPERATION' 'SCHL MOLEST ETC ON PREMIS'
 'School/College: Molest/Threaten Bodily Harm On Premises'
 'School: Disturb Operation']",['Misdemeanor' nan],5M,
262,27 -36B - - -,"['HANDGUN ON PERSON (CJIS 1 5212)' 'HANDGUN ON PERSON CJIS Code: 1 5212'
 'HANDGUN IN VEHICLE (CJIS 1 0175)' 'HANDGUN-COMMISSION OF CRIM']",['Misdemeanor' 'Converted Degree'],5M,
264,CR.12.302,['SLOT MACHINE POSS/MAINTAIN'],['Misdemeanor'],5M,
269,CR.5.619.(d)(1),"['CDS:DIST PARAPHERNALIA' 'CDS:POSS PARAPHERNALIA'
 'Cds:Possess Paraphernalia'
 'Cds:Possess Paraphernalia/Subsequent Offender'
 'Cds:Distribute Paraphernalia' 'CDS: POSSESS-NOT MARIJUANA']",[nan 'Misdemeanor'],5M,
274,CR.8.801.(b),"['Obtn Prop Of Vul Adult-Ovr $500' 'OBT PROP OF VUL ADULT $1K TO'
 'OBTN PROP OF VUL ADULT-L/T $50' 'Obt Prop Of Vul Adult $1k To <$10k'
 'OBTN PROP OF VUL ADULT-L/T $1,' 'OBT PROP VUL ADLT- $10K TO <$100K'
 'Obtn Prop Of Vul Adult-L/T $500' 'OBT PROP VUL ADLT- $10K TO <$']",['Felony Circuit Court' nan 'Felony District Court' 'Misdemeanor'],5M,
276,CR.6.105.(b),"['MALICIOUS BURNING/2ND DEG' 'Malicious Burning/Second Degree'
 'Malicious Burning of Property under $1,000.00']",[nan 'Misdemeanor'],5M,
281,27.44.(c),"['Possess Forged, Counterfeit And Altered Motor Vehicle Title'
 'UTTER FORGED CURRENCY' 'Utter Forged Currency']",['Misdemeanor'],5M,
283,CJ.3-1508,['Peace Order: Fail To Comply' 'PEACE ORDER: FAIL TO COMPLY'],['Misdemeanor'],5M,
285,27 -120 - - -,['RECKLESS ENDANGERMENT (CJIS 1 0469)'],['Misdemeanor'],5M,
286,27.32.(b),['BURGLARY-4TH DEGREE THEFT' 'Burglary-Fourth Degree Theft'],['Misdemeanor'],5M,
289,CR.5.618,"['CDS POS/PUR NONCONT SUBST'
 'Cds Possess/Purchase Noncontrolled Substance'
 'Possess Noncontrolled Substance']",[nan 'Misdemeanor'],5M,
292,27.145.c.-1,"[""CRED CARD:STEAL ANOTHER'S""]",['Misdemeanor'],5M,
294,CR.7.205,"['VEHICL/RENTD:FAIL RETURN' 'FRAUD-M/V ABAND/REFUSE RETURN'
 'Motor Vehicle Rented/Leased: Fail To Return' 'VEHICL/RENTED:ABANDON']",[nan 'Misdemeanor'],5M,
295,CR.11.202.(a)(3),"['OBSCENE MAT/PUCLSH/DISTRIB'
 'Obscene Matter Prepare/Publish/Print/Exhibit/Distribute'
 'OBSCENE MAT/PUBLSH/DISTRIB']",[nan 'Misdemeanor'],5M,
296,CR.8.204.(d),['CRED CRD RECEIV UNLAWFULLY' 'Credit Card Receive Unlawfully'],[nan 'Misdemeanor'],5M,
300,CR.11.202.(a)(4),['OBSCENE MAT/POSS W/IN DIST'],['Misdemeanor'],5M,
302,27 -111 - - -,"['MAL DESTR PROP VALUE + $300 (CJIS 1 0431)'
 'MAL DEST PROP/VALU - $300 CJIS Code: 1 2900'
 'MAL DESTR PROP/VALU $500 LESS (CJIS 3 4025)'
 'MAL DESTR PROP VALUE + $300 CJIS Code: 1 0431'
 'MAL DEST PROP/VALU - $300 (CJIS 1 2900)'
 'MAL DESTR PROP/VALU $500 PLUS (CJIS 3 4030)']",['Misdemeanor' 'Converted Degree'],5M,
303,CR.11.304.(a),['PROSTITUTION-BUSINESS' 'Prostitution-Business'],['Misdemeanor' nan],5M,
304,CR.8.301.(c)(2)(i)(ii),"['FRAUD IDENT INFO THFT UND $1,0' 'FRAUD IDENT INFO THFT $1K-<$10'
 'Fraud Ident Info Thft $1k-<$10k' 'Fraud Ident Info Thft Und $1,000'
 'FRAUD IDENT INFO THFT $100K+' 'FRAUD IDENT INFO THFT $10K-<$1'
 'Fraud Ident Info Thft $1500-<$25k']",['Misdemeanor' 'Felony Circuit Court' 'Felony District Court' nan],5M,
305,CR 11 303,['PROSTITUTION-GENERAL'],['Misdemeanor'],5M,
308,CR.9.307.(a),['ALTER PHYS EVIDENCE CRIM PROC' 'Alter Phys Evidence Crim Proc'],['Misdemeanor'],5M,
310,CR.9.306,['Obstruct Justice' 'OBSTRUCT JUSTICE'],['Misdemeanor' nan],5M,
316,AB.6.323,"['POSSESS OPEN CONTR PUBLIC' 'POSSESS OPEN CONTR RETAIL'
 'POSSESS OPEN CONTR PUBLIC BOTTLE OF E AND J BRANDY W/SEAL BROKEN ON PUBLIC STREET']",['Misdemeanor'],5M,
317,CR.8.209,['FALSE CRD CHG GOODS L/T $100'],[nan 'Misdemeanor'],5M,
321,CR.5.701.(d)(4)(iii),"['CDS PRESC OBTN CONCEALMENT' 'PRESC OBTN CONCEAL/FALSE INFO'
 'PRESC OBTN CONCEALMENT']",['Misdemeanor' nan],5M,
322,27.231.(c).-1,['FRAUD-PER.IDENT.INFO.THEFT'],['Misdemeanor'],5M,
327,3-5010,['THEFT:LESS $500 VALUE'],['Misdemeanor'],5M,
330,CR.6.306.(a),"['MAN SERIAL#: REMOV/OBLIT' 'Man Serial#: Remov/Oblit'
 'MAN SERIAL #: REMOV/OBLIT']",['Misdemeanor' nan],5M,
331,CR 11 306,['PROCURE/SOL PROSTITUTION/ASSIG'],['Misdemeanor'],5M,
332,CR.8.604,"['CURRENCY:MANUFACTURE/COUNTERFEIT' 'CURRENCY:MAKE IMAGE'
 'CURRENCY:MANUFACTURE/COUNTERFE' 'UTTER FORGED CURRENCY'
 'Currency:Manufacture/Counterfeit']",['Felony District Court' nan 'Misdemeanor' 'Felony Circuit Court'],5M,
333,CR.6.301.(e),"['MAL DES-SCHEME/VALU + $500' 'MAL DES-SCHEME/VALU + $1,000'
 'Malicious Destruction - Scheme Value Over $500'
 'Malicious Destruction - Scheme Value Over $1,000']",[nan 'Misdemeanor'],5M,
336,CR.8.103 (a),"['BD CK/ISS/NSF/$100 TO<$1,500' 'Bd Ck/Issue/Nsf/$100 To<$1,500']",['Misdemeanor'],5M,
337,CR.9.604.(a)(1),"['FALSE ALARM/FIRE:CAUSE'
 'False Alarm/Fire: Give/Cause To Be Given-RESTITUTION ONLY']",[nan 'Misdemeanor'],5M,
339,CR.8.204.(b),['CRED CRD LOST RECV/RETAIN'],[nan 'Misdemeanor'],5M,
340,1-0573,['CDS: POSSESSION-MARIHUANA'],['Misdemeanor'],5M,
341,FL.9.304,"['DETAIN CHILD/RELATVE IN ST' 'ABDUCT CHILD/RELATIV IN ST'
 'HIDE CHLD/ABD BY REL IN ST' 'ABDUCT ETC CHILD/ACCESSORY']",[nan 'Misdemeanor'],5M,
344,CR.3.804.(a)(1),"['TELEPHONE-UNLAWFUL USE' 'TEL MISUSE:SINGLE CALL'
 'TELEPHONE: COMMENT/OBSCENE/ETC']",[nan 'Misdemeanor'],5M,
345,CR.6.409.(b),"['TRESPASS PUB AGNCY DUR HRS' 'TREPASS PUB AGNCY DUR HRS'
 'Trespass: Public Agency During Business Hours'
 'TRESPAS PUB AGNCY DUR HRS' 'TRESPAS:PUBLC AGNCY DURING HRS']",['Misdemeanor' nan],5M,
347,CR.6.302,"['Malicious Destruction Missiles At Vehicle-Rock/Stone/Brick'
 'MAL DEST MISSILES AT VEH.']",['Misdemeanor' nan],5M,
350,CR.6.301.-E,"['MAL DES-SCHEME/VALU + $1,000' 'MAL DES-SCHEME/VALU $1,000+']",['Misdemeanor'],5M,
352,27.121.(b).-5,['DISTURB PEACE - LOUD NOISE'],['Misdemeanor'],5M,
354,CR.5.503,['CDS OPIATE W/O PRESCRIPT.'],['Misdemeanor' nan],5M,
357,CR.5.601.(A)(2)(iii),['CDS OBTN BY CONCEAL FLS ID'],['Misdemeanor'],5M,
358,27.124,['STALKING' 'Stalking'],['Misdemeanor'],5M,
360,CR.9.503,"['FALSE STMT-STATE OFFICIAL ETC' 'FALSE STMT STATE OFFICIAL'
 'False Statement: State Official/Agency']",[nan 'Misdemeanor'],5M,
361,CR.3.804.(a)(3),['TEL MISUSE: OBSCENE'],[nan 'Misdemeanor'],5M,
365,CR -4-203 - - -,['HANDGUN ON PERSON (CJIS 1_5212)' 'HANDGUN IN VEHICLE (CJIS 1_0175)'],['Misdemeanor'],5M,
369,CR.6.404.(b),['OFF-ROAD VEHICLE ON PROPERTY'],['Misdemeanor' nan],5M,
374,CR.12.104.(a)(4)(5)(,['GAMING-KEEP TABLE/PLACE'],['Misdemeanor'],5M,
377,27.121.(b).-4,['DISTURB THE PEACE' 'DISTURB PEACE'],['Misdemeanor'],5M,
380,27.287.(d).-1,['CDS ADMIN EQUIP POSS/DIST'],['Misdemeanor'],5M,
382,27.287.(b).(5),['Cds Obtain By Making/Uttering False/Forged Prescription'],['Misdemeanor'],5M,
383,CR.10.107.(c)(1),['TOBACCO PURCH/SELL MINOR'],['Misdemeanor' nan],5M,
384,27.287.(b).(3),['Cds Obtain By Concealment/False Id'],['Misdemeanor'],5M,
386,CR.8.301.(c)(2)(ii),['FRAUD-PER IDENT AVOID PAY' 'FRAUD-PER IDENT AVOID PAY <$50'],['Misdemeanor' 'Felony District Court'],5M,
388,AB.6.320.(b),['CONSUME ALC BEV PUBLIC'],['Misdemeanor'],5M,
391,CR.7.303.(c)(1),['FRAUD-CABLE TV-TAMPER ETC.'],[nan 'Misdemeanor'],5M,
392,CR.12.104.-1,['GAMING-KEEP TABLE/PLACE'],['Misdemeanor'],5M,
394,CR.8.801(b),"['OBT PROP VUL ADLT-L/T $1,500' 'OBT PROP VUL ADLT-$1500-<$25K'
 'Obt Prop Of Vul Adult- $1500 -<$25k']",['Misdemeanor' 'Felony District Court'],5M,
395,CR.8.303.(b)(3)(4),"[""DISPLAY GOV'T ID OF ANOTHER"" ""Display Gov't Id Of Another""]",['Misdemeanor' nan],5M,
